id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
4-C2T3JJ5DDCLFKE,Juice+,Juice+ - Jurong Point,Singapore,SGD,380.0,1.340546806,103.7064505,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T3JJ5DDCLFKE/hero/48135141cd444747a70359a8f4dea4ed_1622800322771062203.png,5000,3.0,,DELIVERY_TAKEAWAY,S$4.00 off delivery fee with S$10.00 min. order,FOOD,GRAB,27.0,True,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,,Beverages,Healthy,Vegetarian Friendly,Health & Wellness,Fresh Produce,Livraison et à emporter
SGDD09690,D'life,D'life - Jurong West Avenue 1,Singapore,SGD,550.0,1.3514678,103.7255111,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09690/hero/87ac89475d184b619a3520d2545c311d_1574302746980913298.jpeg,5000,4.5,975.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,40.0,True,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,,Asian,Beverages,Vegetarian,,,Livraison et à emporter
4-CZDWTYLDUCBKTN,The Salad Fork,The Salad Fork - Novena Square,Singapore,SGD,450.0,1.3196526649923754,103.84355595883908,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDWTYLDUCBKTN/hero/78295b2584f542a7aabd1e65d73076cb_1601437240700389184.jpeg,2500,4.6,280.0,ONLY_DELIVERY,$0 Delivery Fee (min. $30 spend)!,FOOD,GRAB,40.0,True,10:30-21:30,10:30-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,10:30-21:30,,Halal,Chicken,Healthy,Salad,Breakfast & Brunch,Livraison uniquement
4-C2UFJPXHKBN2CT,Povoco,Povoco - Lorong 2 Toa Payoh,Singapore,SGD,1170.0,1.339652,103.847073,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UFJPXHKBN2CT/hero/37014baa3c31408babe4eacef8f1543b_1622543687599500575.jpg,4997,,,ONLY_DELIVERY,,FOOD,GRAB,24.0,,Closed,00:00-01:00 08:00-23:59,00:00-01:00 08:00-23:59,00:00-01:00 08:00-23:59,00:00-01:00 08:00-23:59,00:00-01:00 08:00-23:59,00:00-01:00 08:00-23:59,00:00-01:00 08:00-23:59,True,Beverages,Fried Chicken,Healthy,,,Livraison uniquement
4-CZBHBFJBCYVJEN,Green Monster Salads,Green Monster Salads - Balestier Road,Singapore,SGD,450.0,1.3234806594246464,103.85231451184067,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZBHBFJBCYVJEN/hero/0ebce591996b4b77bbbaf1b768823a46_1601535403613696661.png,2500,4.3,352.0,ONLY_DELIVERY,Free Delivery up to $4 with Min spend $30,FOOD,GRAB,39.0,,Closed,09:30-19:45,09:30-19:45,09:30-19:45,09:30-19:45,09:30-19:45,09:30-19:45,09:30-19:45,,Healthy,Same Prices In-Store,Salad,,,Livraison uniquement
SGDD01957,SaladStop!,SaladStop! - Novena Square,Singapore,SGD,520.0,1.32030461,103.8436739,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01957/hero/fa102d15ccf74ae18cc3cc89888b85f9_1622628553762730445.jpeg,4999,4.4,383.0,ONLY_DELIVERY,"Use ""VELOCITY5OFF"" to enjoy a $5 discount, min spending of $30!",FOOD,GRAB,30.0,True,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,,Salad,Vegetarian,Vegan,Healthy,Eco-Friendly,Livraison uniquement
4-C2EFDF6VBEAGG2,No Monkey Business (Vegetarian),No Monkey Business (Vegetarian) - The Venue Shoppes,Singapore,SGD,410.0,1.3290122222694691,103.86928137669054,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EFDF6VBEAGG2/hero/d6e67f578beb4e70a8c4f6298915531d_1608711756443321354.jpeg,4999,4.9,115.0,DELIVERY_TAKEAWAY_DINEIN,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,30.0,True,11:00-20:30,11:00-20:00,Closed,11:00-20:30,11:00-20:30,Closed,11:00-20:30,11:00-20:30,,Asian,Chinese,Healthy,Local,Vegetarian Friendly,Livraison à emporter et sur place
SGDD09796,D'life,D'Life - 600@Toa Payoh,Singapore,SGD,400.0,1.333977971414856,103.85077623235804,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09796/hero/6caf7b474886452ba6d84bc3fa7198f5_1574302073462949316.jpeg,4999,4.4,752.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,38.0,True,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,,Asian,Beverages,Vegetarian,,,Livraison et à emporter
4-C2NDTACKSALKAJ,Chirashi-Ai,Chirashi-Ai - Beauty World Centre,Singapore,SGD,1860.0,1.342427237,103.7758127,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NDTACKSALKAJ/hero/f10f80318ce942eea8d9e9b9542e60f6_1618380049852877039.jpg,5000,4.0,,DELIVERY_TAKEAWAY,S$3.00 off delivery fee with S$20.00 min. order,FOOD,GRAB,29.0,,Closed,09:00-20:15,10:00-20:15,10:00-20:15,10:00-20:15,10:00-20:15,10:00-20:15,09:00-20:15,True,Asian,Coffee & Tea,Healthy,Japanese,Kids Friendly,Livraison et à emporter
4-CZD3UBNBE6J1TJ,The Salad Fork,The Salad Fork - NEX,Singapore,SGD,330.0,1.35066325,103.872573225,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD3UBNBE6J1TJ/hero/45f55eb855da490db66f14d944ac4892_1601437231406812063.jpeg,2500,4.2,479.0,ONLY_DELIVERY,$0 Delivery Fee (min. $30 spend)!,FOOD,GRAB,40.0,True,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,,Halal,Chicken,Healthy,Salad,Breakfast & Brunch,Livraison uniquement
SGDD06458,The Soup Spoon Union,The Soup Spoon Union - NEX Shopping Mall,Singapore,SGD,330.0,1.350515255897136,103.87271155695385,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD06458/hero/c9896bada85b4098b868d5c3cbd754b9_1612146868943780747.jpeg,2500,4.2,1711.0,ONLY_DELIVERY,,FOOD,GRAB,45.0,True,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,,Halal,Chicken,Healthy,Salad,Western,Livraison uniquement
4-CZJ1MCJDTYLYEJ,Chee Wei Vegetarian,Chee Wei Vegetarian - Potong Pasir Avenue,Singapore,SGD,850.0,1.3320143586303033,103.86791490701836,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJ1MCJDTYLYEJ/hero/67c2a9fcae634a4ca28f626518ca22da_1594090158583926450.jpeg,4999,4.3,120.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,22.0,,Closed,08:00-19:00,Closed,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,Asian,Chinese,Vegetarian Friendly,,,Livraison et à emporter
