id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
4-CYXVG62UVYNEDE,Thai Chang,Thai Chang - Joo Chiat Road,Singapore,SGD,11.1,1.3063854333333331,103.9045925,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYXVG62UVYNEDE/hero/4f389045d4b140c6a15fc4c6451f6c9c_1581991294302953024.jpeg,5000,4.3,6.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,25.0,,Closed,Closed,11:00-21:00,Closed,Closed,Closed,Closed,Closed,True,Asian,Thai,Fast Food,Chicken,Noodles,Livraison et à emporter
4-CYTVWCMFMCC2CJ,Real Thai,Real Thai - Changi City Point,Singapore,SGD,5.3,1.3342065,103.9623738763502,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTVWCMFMCC2CJ/hero/55103cdf1b1f440eb590e5898e779cb9_1619008967956458505.jpeg,5000,4.4,63.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,49.0,True,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,,Thai,Asian,Fast Food,Noodles,Snack,Livraison et à emporter
4-CZJHKGD2LT4ZKE,Blk 86 Lim’s Traditional Rojak,Blk 86 Lim’s Traditional Rojak - Bedok North Street 4,Singapore,SGD,6.3,1.3324518,103.9390831,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJHKGD2LT4ZKE/hero/bebaaef3bec84fbdbe11b7134cecb340_1613526164303871248.jpeg,5000,4.1,18.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,38.0,True,11:00-20:00,11:00-20:00,11:00-20:00,Closed,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,,Same Prices In-Store,Asian,BBQ,Snack,Local,Livraison et à emporter
SGDD01195,The Naughty Chef,The Naughty Chef - Bedok,Singapore,SGD,7.6,1.3313109,103.9482511,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01195/hero/upload-photo-Hero_Photo_3c039ea06d304d01b722bf5571c5cd2a_1556771841901779165.jpeg,5000,4.3,320.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,44.0,True,11:00-21:15,11:00-21:15,Closed,11:00-21:15,11:00-21:15,11:00-21:15,11:00-21:15,11:00-21:15,,Sandwiches,Pasta,Pizza,Italian,Islandwide Delivery,Livraison et à emporter
4-CZM3CFAXGVM3PA,Tikka Taj,Tikka Taj - Upper East Coast Road,Singapore,SGD,4.0,1.3138493313059283,103.9317764,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZM3CFAXGVM3PA/hero/6de19fdc3abd47ceb9bf2fd1b4d770eb_1597913523004293761.jpeg,5000,4.4,17.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,30.0,True,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,,Indian,Chicken,Kebabs,,,Livraison et à emporter
SGDD00939,Proofer Bakery and Pizzeria,Proofer Bakery and Pizzeria - Changi City Point,Singapore,SGD,4.7,1.3343884,103.96252365,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00939/hero/0d21aa71611e4369892e52a0166bc930_1572362491762954106.jpeg,5000,4.3,53.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,45.0,True,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,,Western,Dessert,Pizza,Chicken,,Livraison et à emporter
SGDD00816,Nene Chicken,Nene Chicken - Bedok Mall,Singapore,SGD,5.4,1.325265788261703,103.92989087545465,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00816/hero/e5f47bee778845029d245aa5ed16b44d_1590574275599090544.jpeg,5000,4.4,1053.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,40.0,True,11:00-22:30,11:00-21:00,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,,Halal,Asian,Burger,Same Prices In-Store,Korean Fried Chicken,Livraison et à emporter
4-CYN2GYUULXEATX,Subway,Subway - Nanyang Community Centre,Singapore,SGD,6.3,1.3425477,103.6926736,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYN2GYUULXEATX/hero/d82c95e5848846f5a1f09a46c4171ff3_1576205968039901709.png,2500,4.5,1797.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,30.0,True,09:00-21:30,09:00-21:30,09:00-21:30,09:00-21:30,09:00-21:30,09:00-21:30,09:00-21:30,09:00-21:30,,Healthy,Sandwiches,Fast Food,Halal,Western,Livraison et à emporter
4-CY3KNACAJRMBNX,Pizza Hut,Pizza Hut - Eastpoint Mall,Singapore,SGD,9.8,1.3424855134325495,103.95326360635852,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY3KNACAJRMBNX/hero/2303d59706e049b1bfbddd08ad82fb2e_1591695113587660297.png,5000,4.2,634.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,52.0,True,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,,Pizza,Halal,Fast Food,Western,Pasta,Livraison et à emporter
4-C2NCAACJACLVKE,Raden Lina Nasi Padang,Raden Lina Nasi Padang - Heartbeat @ Bedok,Singapore,SGD,4.6,1.32687784786107,103.93170680023422,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NCAACJACLVKE/hero/43bdee8b966a402c99ab538424f5c8a2_1618200048121069074.jpg,5000,3.4,24.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,40.0,True,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,,Asian,Chicken,Fried Chicken,Indonesian,,Livraison et à emporter
