id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
4-C2JUCF6XTXWWT6,Pan Bakery,Pan Bakery - Hougang Ave 8,Singapore,SGD,1200.0,1.3734274940847797,103.88536660303872,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JUCF6XTXWWT6/hero/cc00000b713d4e6abaf2233f2e98a715_1611111794959463885.jpg,5000,4.0,1.0,ONLY_DELIVERY,,MART,GRAB,27.0,,Closed,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,Bakery & Cake,Convenience,Dessert,,,Livraison uniquement
4-CZKTNUDUTJXAJX,Cup Walker,Cup Walker - Sengkang MRT Station,Singapore,SGD,1680.0,1.392118941,103.8954787,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKTNUDUTJXAJX/hero/9cff4d2c8e6c4f7d8001177541e7a689_1593064475800963424.jpg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,29.0,,Closed,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,True,Same Prices In-Store,Bubble Tea,Coffee & Tea,Dessert,Japanese,Livraison et à emporter
4-CY4TABKARB3XFA,Dew Station,Dew Station - Greenridge Shopping Centre,Singapore,SGD,1740.0,1.3849646666666666,103.7665832,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY4TABKARB3XFA/hero/7761258d4dbd4feeafa005d6ee5e5414_1575079224571873037.jpeg,5000,4.7,757.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,31.0,,Closed,10:45-21:15,10:45-21:00,10:45-21:00,10:45-21:00,10:45-21:00,10:45-21:00,10:45-21:15,,Local,Beverages,Bubble Tea,Dessert,,Livraison uniquement
4-C2AYEEVGE3CVLE,iTea,iTea - Hougang Village,Singapore,SGD,1740.0,1.3740029091115264,103.88603266666668,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AYEEVGE3CVLE/hero/27727dbbafef476e8b1803805f940193_1601539249179929269.jpeg,5000,4.5,250.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,32.0,,Closed,10:00-20:30,10:30-20:30,10:30-20:30,10:30-20:30,10:30-20:30,10:30-20:30,10:00-20:30,,Beverages,Bubble Tea,Coffee & Tea,,,Livraison uniquement
4-CZMABELGEP3JPE,Hello Summer,Hello Summer - Hougang Ave 8 [Islandwide Delivery],Singapore,SGD,1570.0,1.3733725808033768,103.88626815715963,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZMABELGEP3JPE/hero/19618fdf94a44b1794db20a5e50573dc_1596010099872316094.jpeg,25000,4.5,74.0,ONLY_DELIVERY,10% off with S$25.00 min. order,FOOD,GRAB,30.0,,Closed,12:30-22:00,Closed,12:30-22:00,12:30-22:00,12:30-22:00,12:30-22:30,12:30-22:00,True,Bubble Tea,Smoothies,Milk Tea,,,Livraison uniquement
4-CY4JGJXKV6CBT6,Llao Llao,Llao Llao - Compass One #01-46A,Singapore,SGD,199.0,1.3921838,103.8949667,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY4JGJXKV6CBT6/hero/63d4dd7bbe1447e79f773bad09f86044_1574905061484380065.jpeg,10000,4.6,1001.0,ONLY_DELIVERY,,MART,GRAB,31.0,,Closed,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:30,11:30-21:30,11:30-21:30,,Ice Cream,Mart,Dessert,Local,Snacks,Livraison uniquement
4-CYUGTK2HC7TGLA,CocoCane,CocoCane - Compass One,Singapore,SGD,1670.0,1.3922722,103.8950994,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYUGTK2HC7TGLA/hero/e3f12ce4b8c44054b13f09a57454239c_1598002677025675921.jpeg,5000,4.7,690.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,32.0,,Closed,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,,Juice,Beverages,Dessert,,,Livraison et à emporter
4-CYMWWBDBHGDZGA,Famous Amos,Famous Amos - Compass One #B1-19,Singapore,SGD,199.0,1.3922657,103.8949797,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYMWWBDBHGDZGA/hero/aa56a3eedaab40989f45ced255f10da9_1619234281899800440.jpeg,10000,4.8,231.0,ONLY_DELIVERY,,MART,GRAB,31.0,,Closed,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,True,Mart,Snacks,Dessert,,,Livraison uniquement
4-C2UBCA4XNECKFE,Icebar,Icebar - Hougang Green Shopping Mall,Singapore,SGD,2160.0,1.379035,103.887911,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UBCA4XNECKFE/hero/770f861d37454147a8604f0935f8bcfe_1622110354762678802.jpg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,20.0,,Closed,18:00-23:00,Closed,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,,Alcohol,Beverages,Coffee & Tea,,,Livraison et à emporter
SGDD11893,Lao Ban,Lao Ban - Hougang Bus Interchange,Singapore,SGD,1420.0,1.3711443108193038,103.89249477333158,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11893/hero/laoban_hero_16x9.jpg,5000,4.8,408.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,21.0,,Closed,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,,Asian,Beverages,Dessert,Bubble Tea,,Livraison et à emporter
4-C2JDLJCZGB3UGA,Mr. Coconut,Mr. Coconut - Hougang Mall,Singapore,SGD,1400.0,1.3724324,103.8936678,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JDLJCZGB3UGA/hero/87201ee23eca4fe2b804f14f47a97740_1610360665107349118.jpeg,5000,4.7,356.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,28.0,,Closed,11:10-21:00,11:10-21:00,11:10-21:00,11:10-21:00,11:00-21:00,11:10-21:00,11:10-21:00,True,Beverages,Dessert,Ice Cream,,,Livraison et à emporter
